2023-04-17 01:09:58 INFO     Start experiments with Namespace(variant='hybrid', dataset='facebook', model='gcn', grid_search=True, eps=None)
2023-04-17 08:44:41 INFO     [Blink-hybrid: gcn on facebook with eps=5] Saving training results to output/results.json
2023-04-17 08:44:41 INFO     [Blink-hybrid: gcn on facebook with eps=6] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1}.
2023-04-17 09:00:49 INFO     [Blink-hybrid: gcn on facebook with eps=6] Test accuracy is 0.8758336299988133 (0.0033542936124352266).
2023-04-17 09:00:49 INFO     [Blink-hybrid: gcn on facebook with eps=6] Saving training results to output/results.json
2023-04-17 09:00:49 INFO     [Blink-hybrid: gcn on facebook with eps=7] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1}.
2023-04-17 09:16:57 INFO     [Blink-hybrid: gcn on facebook with eps=7] Test accuracy is 0.8932716269134923 (0.0022480588952328183).
2023-04-17 09:16:57 INFO     [Blink-hybrid: gcn on facebook with eps=7] Saving training results to output/results.json
2023-04-17 09:16:57 INFO     [Blink-hybrid: gcn on facebook with eps=8] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001, 'delta': 0.1}.
2023-04-17 09:33:04 INFO     [Blink-hybrid: gcn on facebook with eps=8] Test accuracy is 0.8962086151655394 (0.001685738777578755).
2023-04-17 09:33:04 INFO     [Blink-hybrid: gcn on facebook with eps=8] Saving training results to output/results.json
2023-04-17 09:33:04 INFO     [Blink-hybrid: gcn on facebook with eps=None] Run with best hp found: {'do': 0.1, 'lr': 0.1, 'wd': 0.0001}.
2023-04-17 09:34:01 INFO     [Blink-hybrid: gcn on facebook with eps=None] Test accuracy is 0.8973003441319568 (0.001294617699264474).
2023-04-17 09:34:01 INFO     [Blink-hybrid: gcn on facebook with eps=None] Saving training results to output/results.json
